Comment,Designator,Footprint,LCSC Part #
,JP2,1X04/90,C32713263
.1uF,C1 C2 C3 C4 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C20,C0402K,C60474
2X4,U$1 U$2,2X4,C225289
22,R5 R6,R0805,C17561
500,R3 R4,R0402,C227124
C5149201-SK6812MINI,U$4 U$5 U$6 U$7 U$8 U$9 U$10 U$11 U$12 U$13 U$14 U$15 U$16 U$17 U$18,C5149201-REVERSEMOUNTLED,C5149201
KAILH_SWITCH_SOCKET,SW1 SW2 SW3 SW4 SW5 SW6 SW7 SW8 SW9 SW10 SW11 SW12 SW13 SW14 SW15,SWITCH_SOCKET,C5156480
MF-SMDF050,U$19,MF-SMDF050,C210839
S4B-PH-SM4-TB,X1,S4B-PH-SM4-TB,C265102
USB-302S,U$20,USB-302S,C112455
