Designator,Mid X,Mid Y,Layer,Rotation
C1,163.50,27.60,Bottom,90.0
C2,90.08,150.39,Bottom,270.0
C3,64.99,161.38,Bottom,270.0
C4,110.08,125.38,Bottom,270.0
C6,160.06,150.39,Bottom,270.0
C7,185.08,161.39,Bottom,270.0
C8,215.08,148.39,Bottom,270.0
C9,156.24,83.67,Bottom,90.0
C10,176.14,108.77,Bottom,90.0
C11,201.04,119.67,Bottom,90.0
C12,231.25,106.67,Bottom,90.0
C13,34.69,148.31,Bottom,270.0
C14,103.40,27.60,Bottom,90.0
C15,125.01,150.41,Bottom,270.0
C20,140.06,125.48,Bottom,270.0
JP2,128.90,162.49,Bottom,0.0
R3,93.80,28.30,Bottom,180.0
R4,34.38,146.19,Bottom,180.0
R5,37.60,11.00,Bottom,90.0
R6,35.10,11.10,Bottom,90.0
SW1,159.00,34.00,Top,0.0
SW2,93.64,144.00,Top,180.0
SW3,68.55,155.00,Top,180.0
SW4,113.64,119.00,Top,180.0
SW5,143.62,119.00,Top,180.0
SW6,163.62,144.00,Top,180.0
SW7,188.64,155.00,Top,180.0
SW8,218.64,142.00,Top,180.0
SW9,151.76,90.03,Top,0.0
SW10,171.76,115.03,Top,0.0
SW11,196.76,126.03,Top,0.0
SW12,226.76,113.03,Top,0.0
SW13,38.25,142.00,Top,180.0
SW14,99.00,34.00,Top,0.0
SW15,128.57,144.00,Top,180.0
U$1,56.31,163.50,Bottom,0.0
U$2,178.31,163.50,Bottom,0.0
U$3,34.05,34.05,Bottom,0.0
U$4,39.00,147.00,Top,0.0
U$5,69.00,160.00,Top,0.0
U$6,94.00,149.00,Top,0.0
U$7,114.00,124.00,Top,0.0
U$8,129.00,149.00,Top,0.0
U$9,144.00,124.00,Top,0.0
U$10,164.00,149.00,Top,0.0
U$11,189.00,160.00,Top,0.0
U$12,219.00,147.00,Top,0.0
U$13,226.76,108.03,Top,180.0
U$14,196.76,121.03,Top,180.0
U$15,171.76,110.03,Top,180.0
U$16,151.76,85.03,Top,180.0
U$17,159.00,29.00,Top,180.0
U$18,99.00,29.00,Top,180.0
U$19,54.70, 8.80,Bottom,180.0
U$20,36.00, 2.50,Bottom,0.0
X1, 7.80,128.90,Bottom,270.0
